Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18),Value (19),Value (20),Value (21),Value (22),Value (23),Value (24),Value (25),Value (26),Value (27),Value (28),Value (29),Value (30),Value (31),Value (32),Value (33),Value (34),Value (35),Value (36),Value (37),Value (38),Value (39),Value (40)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
name,Can add log entry,Can change log entry,Can delete log entry,Can view log entry,Can add permission,Can change permission,Can delete permission,Can view permission,Can add group,Can change group,Can delete group,Can view group,Can add user,Can change user,Can delete user,Can view user,Can add content type,Can change content type,Can delete content type,Can view content type,Can add session,Can change session,Can delete session,Can view session,Can add country,Can change country,Can delete country,Can view country,Can add restaurant,Can change restaurant,Can delete restaurant,Can view restaurant,Can add table,Can change table,Can delete table,Can view table,Can add table reservation,Can change table reservation,Can delete table reservation,Can view table reservation
content_type_id,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
codename,add_logentry,change_logentry,delete_logentry,view_logentry,add_permission,change_permission,delete_permission,view_permission,add_group,change_group,delete_group,view_group,add_user,change_user,delete_user,view_user,add_contenttype,change_contenttype,delete_contenttype,view_contenttype,add_session,change_session,delete_session,view_session,add_country,change_country,delete_country,view_country,add_restaurant,change_restaurant,delete_restaurant,view_restaurant,add_table,change_table,delete_table,view_table,add_tablereservation,change_tablereservation,delete_tablereservation,view_tablereservation
