Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14),Value (15),Value (16),Value (17),Value (18)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
app,contenttypes,auth,admin,admin,admin,contenttypes,auth,auth,auth,auth,auth,auth,auth,auth,auth,auth,reservationApp,sessions
name,0001_initial,0001_initial,0001_initial,0002_logentry_remove_auto_add,0003_logentry_add_action_flag_choices,0002_remove_content_type_name,0002_alter_permission_name_max_length,0003_alter_user_email_max_length,0004_alter_user_username_opts,0005_alter_user_last_login_null,0006_require_contenttypes_0002,0007_alter_validators_add_error_messages,0008_alter_user_username_max_length,0009_alter_user_last_name_max_length,0010_alter_group_name_max_length,0011_update_proxy_permissions,0001_initial,0001_initial
applied,2020-09-17 23:05:20.937208,2020-09-17 23:05:21.008018,2020-09-17 23:05:21.113844,2020-09-17 23:05:21.143773,2020-09-17 23:05:21.159727,2020-09-17 23:05:21.188615,2020-09-17 23:05:21.194600,2020-09-17 23:05:21.203609,2020-09-17 23:05:21.210590,2020-09-17 23:05:21.219567,2020-09-17 23:05:21.221560,2020-09-17 23:05:21.230537,2020-09-17 23:05:21.254505,2020-09-17 23:05:21.262484,2020-09-17 23:05:21.271429,2020-09-17 23:05:21.282402,2020-09-17 23:05:21.346259,2020-09-17 23:05:21.394131
